conversion_type,from,to,multiply_by
Length,Kilometer,Kilometer,1
Length,Kilometer,Meter,1000
Length,Kilometer,Centimeter,100000
Length,Kilometer,Millimeter,1e+6
Length,Kilometer,Mile,0.621371
Length,Kilometer,Yard,1093.61
Length,Kilometer,Foot,3280.84
Length,Kilometer,Inch,39370.1
Length,Kilometer,Nautical mile,0.539957

Mass,Metric ton,Metric ton,1
Mass,Metric ton,Kilogram,1000
Mass,Metric ton,Gram,1e+6
Mass,Metric ton,Milligram,1e+9
Mass,Metric ton,Mcg,1e+12
Mass,Metric ton,Long ton,0.984207
Mass,Metric ton,Short ton,1.10231
Mass,Metric ton,Stone,157.473
Mass,Metric ton,Pound,2204.62
Mass,Metric ton,Ounce,35274

Speed,Miles/hour,Miles/hour,1
Speed,Miles/hour,Feet/sec,1.46667
Speed,Miles/hour,Meters/sec,0.44704
Speed,Miles/hour,Km/hour,1.60934
Speed,Miles/hour,Knot,0.868976

Volume,US gal,US gal,4
Volume,US gal,US quart,4
Volume,US gal,US pint,8
Volume,US gal,US cup,16
Volume,US gal,US oz,128
Volume,US gal,US tbsp.,256
Volume,US gal,US tsp.,768
Volume,US gal,Cubic meter,0.00378541
Volume,US gal,Liter,3.78541
Volume,US gal,Milliliter,3785.41
Volume,US gal,Imperial gal,0.832674
Volume,US gal,Imperial quart,3.3307
Volume,US gal,Imperial pint,6.66139
Volume,US gal,Imperial oz,133.228
Volume,US gal,Imperial tbsp.,213.165
Volume,US gal,Imperial tsp.,639.494
Volume,US gal,Cubic foot,0.133681
Volume,US gal,Cubic inch,231

Area,Square km,Square km,1
Area,Square km,Hectare,100
Area,Square km,Square meter,1e+6
Area,Square km,Square mile,0.386102
Area,Square km,Acre,247.105
Area,Square km,Square yard,1.196e+6
Area,Square km,Square foot,1.076e+7
Area,Square km,Square inch,1.55e+9

Fuel consumption,MPG (US),MPG (US),1
Fuel consumption,MPG (US),MPG (imp.),1.20095
Fuel consumption,MPG (US),Km/liter,0.425144

Time,Nanosecond,Nanosecond,1
Time,Nanosecond,Microsecond,0.001
Time,Nanosecond,Millisecond,1e-6
Time,Nanosecond,Second,1e-9
Time,Nanosecond,Minute,1.6667e-11
Time,Nanosecond,Hour,2.7778e-13
Time,Nanosecond,Day,1.1574e-14
Time,Nanosecond,Week,1.6534e-15
Time,Nanosecond,Month,3.8027e-16
Time,Nanosecond,Year,3.1689e-17
Time,Nanosecond,Decade,3.1689e-18
Time,Nanosecond,Century,3.1689e-19

Digital Storage,Bit,Bit,1
Digital Storage,Bit,Byte,0.125
Digital Storage,Bit,Kilobit,0.001
Digital Storage,Bit,Kilobyte,0.000125
Digital Storage,Bit,Kibibit,0.000976563
Digital Storage,Bit,Kibibyte,0.00012207
Digital Storage,Bit,Megabit,1e-6
Digital Storage,Bit,Megabyte,1.25e-7
Digital Storage,Bit,Mebibit,9.5367e-7
Digital Storage,Bit,Mebibyte,1.1921e-7
Digital Storage,Bit,Gigabit,1e-9
Digital Storage,Bit,Gigabyte,1.25e-10
Digital Storage,Bit,Gibibit,9.3132e-10
Digital Storage,Bit,Gibibyte,1.1642e-10
Digital Storage,Bit,Terabit,1e-12
Digital Storage,Bit,Terabyte,1.25e-13
Digital Storage,Bit,Tebibit,9.0949e-13
Digital Storage,Bit,Tebibyte,1.1369e-13
Digital Storage,Bit,Petabit,1e-15
Digital Storage,Bit,Petabyte,1.25e-16
Digital Storage,Bit,Pebibit,8.8818e-16
Digital Storage,Bit,Pebibyte,1.1102e-16
